map_link,name,rating,speciality,contact,website_href
https://www.google.com/maps/place/Jeevak+Hospital/data=!4m7!3m6!1s0x390c7b8e47d3358b:0xa567af5057c80d21!8m2!3d28.9603512!4d77.746306!16s%2Fg%2F11t1h43r26!19sChIJizXTR457DDkRIQ3IV1CvZ6U?authuser=0&hl=en&rclk=1,Jeevak Hospital,4.5,Hospital,095208 87971,http://www.d2dnews.com/business-detail.aspx?i=85be8a90-275c-4ea6-baf4-2d7341794f39
https://www.google.com/maps/place/Sirohi+Hospital-Best+Maternity+Hospital+in+Meerut%2FTrauma+Center+in+Meerut/data=!4m7!3m6!1s0x390c6424e87922e3:0xf5577e718eba9eba!8m2!3d28.9711067!4d77.6633961!16s%2Fg%2F11b7q2glr9!19sChIJ4yJ56CRkDDkRup66jnF-V_U?authuser=0&hl=en&rclk=1,Sirohi Hospital-Best Maternity Hospital in Meerut/Trauma Center in Meerut,3.7,Hospital,080579 07150,http://sirohihospital.in/
https://www.google.com/maps/place/Reeta+Multi+Speciality+Hospital+%26+Trauma+Centre/data=!4m7!3m6!1s0x390c667984cc207d:0x47b9d384df1dfe51!8m2!3d28.9954495!4d77.6463078!16s%2Fg%2F126228f3y!19sChIJfSDMhHlmDDkRUf4d34TTuUc?authuser=0&hl=en&rclk=1,Reeta Multi Speciality Hospital & Trauma Centre,3.5,Hospital,099270 73377,
https://www.google.com/maps/place/Mimhans+neuro+Hospital/data=!4m7!3m6!1s0x390c657d9fd65657:0x58b4f14e0df2f38a!8m2!3d28.9676695!4d77.7363369!16s%2Fg%2F11tgdvkgk3!19sChIJV1bWn31lDDkRivPyDU7xtFg?authuser=0&hl=en&rclk=1,Mimhans neuro Hospital,3,Hospital,,
https://www.google.com/maps/place/Apusnova+Multispeciality+Hospital+%26+Trauma+Center/data=!4m7!3m6!1s0x390c7acc7fa8b8b7:0xd97a6562fee4f54!8m2!3d29.0111687!4d77.7482298!16s%2Fg%2F11b6js2zx1!19sChIJt7iof8x6DDkRVE_uL1amlw0?authuser=0&hl=en&rclk=1,Apusnova Multispeciality Hospital & Trauma Center,2.9,Hospital,091526 17880,https://apusnovahospital.org/
https://www.google.com/maps/place/Bharat+Hospital+%26+Trauma+Centre/data=!4m7!3m6!1s0x390c64b73b90393d:0x3edc35176107f3c3!8m2!3d28.9649105!4d77.7373718!16s%2Fg%2F11b8_nglsj!19sChIJPTmQO7dkDDkRw_MHYRc13D4?authuser=0&hl=en&rclk=1,Bharat Hospital & Trauma Centre,3.7,Hospital,0121 402 7308,
"https://www.google.com/maps/place/J+P+Healthcare+Hospital,+Rohta+Road,+Meerut/data=!4m7!3m6!1s0x390c651e1ff747a9:0xe8014e435473b69a!8m2!3d28.9868653!4d77.6680448!16s%2Fg%2F11qq6v4h01!19sChIJqUf3Hx5lDDkRmrZzVENOAeg?authuser=0&hl=en&rclk=1","J P Healthcare Hospital, Rohta Road, Meerut",4.5,Hospital,0121 268 2055,
https://www.google.com/maps/place/silver+cross+hospital/data=!4m7!3m6!1s0x390c7beafaf03229:0x47cfcf33912e7acf!8m2!3d28.9612006!4d77.7456659!16s%2Fg%2F11g0hblhs2!19sChIJKTLw-up7DDkRz3oukTPPz0c?authuser=0&hl=en&rclk=1,silver cross hospital,3.7,Hospital,098376 51754,
https://www.google.com/maps/place/Bhupal+Hospital+%26+Research+Centre/data=!4m7!3m6!1s0x390c64fc39d4176d:0x3988384df12c011e!8m2!3d28.9862469!4d77.7063482!16s%2Fg%2F11j007wh07!19sChIJbRfUOfxkDDkRHgEs8U04iDk?authuser=0&hl=en&rclk=1,Bhupal Hospital & Research Centre,3,Hospital,,
https://www.google.com/maps/place/GREEN+HOSPITAL+AND+TRUMA+CENTER/data=!4m7!3m6!1s0x390c6496b38153a7:0x53208527cec717d7!8m2!3d28.9613351!4d77.716726!16s%2Fg%2F1hhl841k6!19sChIJp1OBs5ZkDDkR1xfHzieFIFM?authuser=0&hl=en&rclk=1,GREEN HOSPITAL AND TRUMA CENTER,4,Hospital,090128 88888,
